Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-26 00:00:00-04:00,15.146823331502622,15.440083849597968,15.08697376083181,15.439085960388184,197796000,0.0,0.0
2021-04-27 00:00:00-04:00,15.53933364907408,15.631102358075223,15.315896833735502,15.34307861328125,164572000,0.0,0.0
2021-04-28 00:00:00-04:00,15.325871147226541,15.49319975361543,15.177245590486669,15.238341331481934,209416000,0.0,0.0
2021-04-29 00:00:00-04:00,15.361282946905519,15.397691160532714,15.033609024260754,15.286222457885742,173196000,0.0,0.0
2021-04-30 00:00:00-04:00,15.13635161976732,15.326372008336463,14.959297133568592,14.971765518188477,201912000,0.0,0.0
2021-05-03 00:00:00-04:00,15.08697327520045,15.208417054015928,14.7503221859339,14.799448013305664,203912000,0.0,0.0
2021-05-04 00:00:00-04:00,14.60045152794896,14.600700762458748,13.975027966489963,14.315170288085938,405324000,0.0,0.0
2021-05-05 00:00:00-04:00,14.672019599835691,14.776257644037008,14.351328061036348,14.422149658203125,292024000,0.0,0.0
2021-05-06 00:00:00-04:00,14.458809043562871,14.534618194500736,14.182256705395886,14.486489295959473,193380000,0.0,0.0
2021-05-07 00:00:00-04:00,14.771019501267666,14.933110372752017,14.634862332097414,14.775009155273438,229328000,0.0,0.0
2021-05-10 00:00:00-04:00,14.750075635244501,14.768778689541142,14.21417667136426,14.229887008666992,268904000,0.0,0.0
2021-05-11 00:00:00-04:00,13.790241908871472,14.3186599170756,13.715430659167707,14.270281791687012,285584000,0.0,0.0
2021-05-12 00:00:00-04:00,13.974279724476874,14.224399880312989,13.674785449771695,13.72391128540039,303408000,0.0,0.0
2021-05-13 00:00:00-04:00,13.998468968249746,14.045351693819338,13.425163933425056,13.630895614624023,285404000,0.0,0.0
2021-05-14 00:00:00-04:00,13.85507926247416,14.291977805422704,13.713934538144024,14.207191467285156,258616000,0.0,0.0
2021-05-17 00:00:00-04:00,14.121408850962863,14.133628001156678,13.818672627064075,14.129887580871582,216980000,0.0,0.0
2021-05-18 00:00:00-04:00,14.231131212096818,14.36803609551161,13.968791939261795,13.980512619018555,186256000,0.0,0.0
2021-05-19 00:00:00-04:00,13.532391695784717,14.04410243148695,13.509200522328285,14.030386924743652,344000000,0.0,0.0
2021-05-20 00:00:00-04:00,14.266541704450896,14.646833580285021,14.234622566942482,14.575762748718262,321592000,0.0,0.0
2021-05-21 00:00:00-04:00,15.125629043201005,15.183733032772471,14.832119232226075,14.954061508178711,672992000,0.0,0.0
2021-05-24 00:00:00-04:00,15.174250848188034,15.705412250406226,15.137842642926806,15.572747230529785,554816000,0.0,0.0
2021-05-25 00:00:00-04:00,15.726360560876719,15.77872833588339,15.443573624564127,15.608407974243164,435408000,0.0,0.0
2021-05-26 00:00:00-04:00,15.69469328900032,15.754043443944218,15.547065605147322,15.660529136657715,370440000,0.0,0.0
2021-05-27 00:00:00-04:00,15.66027906156566,15.710402780852254,15.42113191055747,15.449061393737793,581476000,0.0,0.0
2021-05-28 00:00:00-04:00,15.46202947906416,16.236577036281336,15.46202947906416,16.203659057617188,644536000,0.0,0.0
2021-06-01 00:00:00-04:00,16.229094980518518,16.347047573880385,15.863266335432474,16.223608016967773,472804000,0.0,0.0
2021-06-02 00:00:00-04:00,16.211393881108727,16.876218447528885,16.194685654349467,16.73607063293457,594168000,0.0,0.0
2021-06-03 00:00:00-04:00,16.65876306621484,17.215609998459154,16.541308933559474,16.927085876464844,580008000,0.0,0.0
2021-06-04 00:00:00-04:00,17.06947505300827,17.616596077162153,17.052519499034798,17.534055709838867,617120000,0.0,0.0
2021-06-07 00:00:00-04:00,17.527072794284408,17.767715323688513,17.14952444459165,17.5747013092041,575756000,0.0,0.0
2021-06-08 00:00:00-04:00,17.483179840618586,17.57719258482111,17.207623605410504,17.41310691833496,323848000,0.0,0.0
2021-06-09 00:00:00-04:00,17.475721908527852,17.534836381930162,17.216315861597764,17.318580627441406,381656000,0.004,0.0
2021-06-10 00:00:00-04:00,17.31035015277787,17.45202583585592,17.13674801084878,17.385177612304688,287772000,0.0,0.0
2021-06-11 00:00:00-04:00,17.439550960234815,17.898251342387297,17.403883229039902,17.78451156616211,416308000,0.0,0.0
2021-06-14 00:00:00-04:00,17.865076259269316,17.998270294606797,17.622382309836595,17.977567672729492,321376000,0.0,0.0
2021-06-15 00:00:00-04:00,17.87405090187056,17.975069160681723,17.687478071443994,17.747838973999023,243032000,0.0,0.0
2021-06-16 00:00:00-04:00,17.750088435017112,17.913713159463825,17.544308692765206,17.769542694091797,307124000,0.0,0.0
2021-06-17 00:00:00-04:00,17.73387307540823,18.79194830496863,17.71566527623226,18.614604949951172,809656000,0.0,0.0
2021-06-18 00:00:00-04:00,18.741067781626178,19.330716599231298,18.541524139406174,18.596149444580078,968856000,0.0,0.0
2021-06-21 00:00:00-04:00,18.39311488047978,18.494135068349298,17.78201553321056,18.385133743286133,672384000,0.0,0.0
2021-06-22 00:00:00-04:00,18.429286096445225,18.920411562226604,18.34398078046078,18.843585968017578,580144000,0.0,0.0
2021-06-23 00:00:00-04:00,18.96431028230056,19.10897936391846,18.864538436254087,19.013696670532227,332356000,0.0,0.0
2021-06-24 00:00:00-04:00,19.183806109567367,19.375616025449478,19.044623366172903,19.161605834960938,320924000,0.0,0.0
2021-06-25 00:00:00-04:00,19.236435003149623,19.30128697907614,18.851317522351227,18.987504959106445,278364000,0.0,0.0
2021-06-28 00:00:00-04:00,19.31699836660214,20.03285915279017,19.274845251778927,19.93932342529297,495436000,0.0,0.0
2021-06-29 00:00:00-04:00,19.8370606251026,20.052815878812567,19.612075871754318,19.980981826782227,367632000,0.0,0.0
2021-06-30 00:00:00-04:00,19.95354441508654,20.116421295455844,19.81835413049353,19.956787109375,326568000,0.0,0.0
2021-07-01 00:00:00-04:00,20.079002860645495,20.409245712086076,19.973244233081605,20.165803909301758,480136000,0.0,0.0
2021-07-02 00:00:00-04:00,20.39353374130317,20.458385715167392,20.241382131269432,20.440176010131836,342764000,0.0,0.0
2021-07-06 00:00:00-04:00,20.690102132517197,20.794363107269312,20.303738226115755,20.65119171142578,446708000,0.0,0.0
2021-07-07 00:00:00-04:00,20.8058429274563,20.827293427168946,20.285535100146795,20.325193405151367,418428000,0.0,0.0
2021-07-08 00:00:00-04:00,19.811117972492724,20.086984820406965,19.65572366995776,19.857261657714844,503300000,0.0,0.0
2021-07-09 00:00:00-04:00,19.91687611559388,20.03435717009147,19.709102017056413,20.004425048828125,296624000,0.0,0.0
2021-07-12 00:00:00-04:00,20.193743724149126,20.48582408605355,20.141613226484793,20.465621948242188,321984000,0.0,0.0
2021-07-13 00:00:00-04:00,20.353873559779505,20.41448567344241,20.068029336079224,20.203718185424805,290708000,0.0,0.0
2021-07-14 00:00:00-04:00,20.31122089134156,20.371083224348496,19.707604117466037,19.79615020751953,380100000,0.0,0.0
2021-07-15 00:00:00-04:00,19.76647364963509,19.801642801831328,18.815401275503216,18.92290496826172,550564000,0.0,0.0
2021-07-16 00:00:00-04:00,18.9870054099986,19.113215466883993,18.03169335944509,18.119491577148438,688224000,0.0,0.0
2021-07-19 00:00:00-04:00,17.87430916336547,18.998483249261675,17.82467157793206,18.736833572387695,749060000,0.0,0.0
2021-07-20 00:00:00-04:00,18.687192164183777,18.794945132479892,18.122485771322793,18.569461822509766,434687000,0.0,4.0
2021-07-21 00:00:00-04:00,18.838847442192375,19.48237382941793,18.699168004217075,19.36564064025879,371017000,0.0,0.0
2021-07-22 00:00:00-04:00,19.597102117631838,19.84154102601024,19.231937601254018,19.549211502075195,323826000,0.0,0.0
2021-07-23 00:00:00-04:00,19.611079366488564,19.654979435423797,19.206007080146577,19.513303756713867,195672000,0.0,0.0
2021-07-26 00:00:00-04:00,19.266865977371694,19.397565194519427,18.87077204812226,19.24990463256836,203943000,0.0,0.0
2021-07-27 00:00:00-04:00,19.220969582862597,19.577154015985894,18.698167007898192,19.164100646972656,248863000,0.0,0.0
2021-07-28 00:00:00-04:00,19.274846044574673,19.601098340577916,18.951587150781002,19.458425521850586,202191000,0.0,0.0
2021-07-29 00:00:00-04:00,19.4743887933179,19.80762698019667,19.283825335460097,19.617063522338867,190781000,0.0,0.0
2021-07-30 00:00:00-04:00,19.37362299502884,19.585138401380597,19.218978436987207,19.454439163208008,183497000,0.0,0.0
